"","sampleID","Age","Sex","BCS","Antibiotics","Glucocorticoids","Cobalamin","Folate","fPLI","fTLI","Group","SubGroup","NonGI_COMORBID","GI_COMORBID_HISTO","3-indoleacetic acid","3-indolepropionic acid","Indole acetamide","Indole acrylate","indole-3-lactic acid","Indole-3-pyruvate","Indole-carboxyaldehyde","Kynurenine","Kynurenic acid","Serotonin","Tryptamine","Trp"
"sam_11","sam_11",13,"FS",6,"NO","NO",881,33.8,1.1,58.8,"HC","HC","",NA,74.9,18.4,1.4,676.1,198.8,1101,29.4,1022.5,8.2,1202.9,"3.8",12079.8
"sam_12","sam_12",8,"MN",9,"NO","NO",1000,15.7,1,35.7,"HC","HC","",NA,325.9,118.6,1.3,657.5,362.7,1157.3,28.9,945.6,10,1247.7,"4.1",12174.3
"sam_13","sam_13",11,"MN",6,"NO","NO",1000,25.3,1.6,29.8,"HC","HC","",NA,565.7,68.4,1.5,913.6,291.2,1130.6,39.7,840.9,6.3,978,"3.6",17232.8
"sam_14","sam_14",12,"MN",7,"NO","NO",826,13.7,2.3,39,"HC","HC","",NA,137.1,44.2,1.4,974.6,197.7,1138.9,39,790.1,6.3,767.9,"3.3",16901.7
"sam_15","sam_15",10,"MN",5,"NO","NO",1000,30.7,2.3,20.9,"HC","HC","",NA,143.6,122.9,1.4,1010.9,290.6,1160.5,43,762.9,9,541.9,"3.2",18548.5
"sam_16","sam_16",8,"FS",5,"NO","NO",1000,16.5,1.4,50.3,"HC","HC","",NA,193.9,127,1.4,1203.2,301.4,1152.1,47.9,930.6,8.6,933.7,"3.7",20141.2
"sam_17","sam_17",10,"FS",5,"NO","NO",1000,15.4,1.7,32.3,"HC","HC","",NA,138.9,57.3,1.4,994.8,184.5,1107,44.2,932.1,5.9,1368.4,"4.2",18521.4
"sam_18","sam_18",11,"MN",9,"NO","NO",517,18,1.9,22.2,"HC","HC","",NA,155.2,53.7,1.4,1199.2,348.1,1169.6,49.6,1386.9,8.7,1154.5,"4.1",21699.6
"sam_19","sam_19",10,"FS",9,"NO","NO",638,11.7,1.3,32.8,"HC","HC","",NA,62.7,7.2,1.4,898.4,170.4,1105.4,38,1000.9,8.9,990.1,"3.7",16260.2
"sam_20","sam_20",13,"MN",9,"NO","NO",1000,21.5,0.9,17.9,"HC","HC","",NA,298.9,61.4,1.9,986.2,713.1,1114.1,45.4,873.1,8.3,1161.8,"4",18541.1
"sam_21","sam_21",9,"FS",5,"NO","NO",1000,14,15.6,76.2,"HC","HC","",NA,102.9,23,1.4,785,402.7,1133.6,35.8,631.9,4.9,1883.4,"4.6",15054.4
